n,Yes,No,609794
12/03/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CA,92085,Older American,,Postal mail,12/04/2013,Closed with explanation,Yes,Yes,620316
12/03/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,OR,97042,,,Postal mail,12/03/2013,Closed with explanation,Yes,No,619900
12/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",FL,34787,,,Web,12/10/2013,Closed with explanation,Yes,No,627961
12/26/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,AZ,85255,,,Postal mail,01/02/2014,Closed with non-monetary relief,Yes,No,644196
12/26/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",AZ,85255,,,Postal mail,01/02/2014,Closed with explanation,Yes,No,644197
12/26/2013,Credit card,,APR or interest rate,,,,Citibank,AZ,85730,,,Postal mail,01/02/2014,Closed with explanation,Yes,Yes,646168
12/26/2013,Debt collection,Payday loan,False statements or representation,Attempted to collect wrong amount,,,Delbert Services,AL,35750,,,Postal mail,01/02/2014,Closed with explanation,Yes,No,646305
12/18/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Barclays PLC,FL,33487,,,Web,12/24/2013,Closed with explanation,Yes,No,644093
12/03/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,NY,10707,,,Referral,12/04/2013,Closed with explanation,Yes,No,619368
01/14/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,TX,76051,,,Web,01/17/2014,Closed with explanation,Yes,No,667267
11/22/2013,Bank account or service,Savings account,"Account opening, closing, or management",,,,HSBC North America Holdings Inc.,NY,11742,,,Referral,11/25/2013,Closed with monetary relief,Yes,No,610223
12/18/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,JPMorgan Chase & Co.,VA,22030,,,Web,12/18/2013,Closed with explanation,Yes,No,644394
01/07/2014,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"American Credit Acceptance, LLC",VA,22733,,,Web,01/14/2014,Closed with monetary relief,Yes,No,657163
01/07/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NJ,07068,,,Referral,01/08/2014,Closed with explanation,Yes,No,657166
